A,B,O,bond_angle_a,bond_angle_c,cbm_diff,cbm_hse,cbm_k_pbe,cbm_pbe,gap_diff,gap_hse,gap_pbe,material,vbm_diff,vbm_hse,vbm_k_pbe,vbm_pbe
La,Tl,O,133.70056645430532,138.7151484789233,0.2927999999999997,7.1726,1.0,6.8798,0.9547999999999996,2.0155000000000003,1.0607000000000006,LaTlO,-0.6619999999999999,5.1571,1.0,5.8191
Li,As,O,141.44845350322157,141.79093160223582,0.2052000000000005,6.2431,1.0,6.0379,1.4944000000000002,3.3908,1.8964,LiAsO,-1.2891999999999997,2.8523,4.0,4.1415
Li,Nb,O,141.88021810617582,140.53136022491063,0.3370000000000002,4.2911,1.0,3.9541,1.3140999999999998,3.673,2.3589,LiNbO,-0.9771,0.6181,1.0,1.5952
Li,P,O,147.02620780140003,147.06497920122987,0.5343,10.8052,1.0,10.2709,1.8524000000000005,5.5836999999999986,3.7312999999999987,LiPO,-1.3181000000000005,5.2215,4.0,6.5396
Li,Sb,O,138.11468770670604,137.7992986100469,0.3032000000000004,7.0467,1.0,6.7435,1.5433000000000008,3.6177000000000006,2.0744,LiSbO,-1.2401000000000004,3.429,7.0,4.6691
Li,Ta,O,142.83181117105448,141.7873893422339,0.4843000000000002,5.4785,1.0,4.9942,1.4807000000000006,4.7025000000000015,3.2218,LiTaO,-0.9964,0.7759999999999999,1.0,1.7724
Li,V,O,144.64358862100661,143.86452363299318,0.10570000000000013,3.44,1.0,3.3343,0.9405,1.7211999999999998,0.7807,LiVO,-0.8347999999999998,1.7188,1.0,2.5536
Mg,Ge,O,139.72583057407743,141.49243815989,0.5932000000000004,7.917000000000002,1.0,7.3238,1.7342000000000013,4.863000000000001,3.1288,MgGeO,-1.1410000000000005,3.054,1.0,4.195
Mg,Hf,O,134.64278777900842,134.5339367892357,0.7029000000000005,7.7358,1.0,7.0329,1.7268,6.2305,4.5037,MgHfO,-1.0238999999999998,1.5053,1.0,2.5292
Mg,Si,O,146.40634262301683,146.98959868094562,0.7631999999999994,12.1645,1.0,11.4013,2.0264999999999995,7.8416000000000015,5.815100000000001,MgSiO,-1.2633,4.3229,4.0,5.5862
Mg,Sn,O,132.60343923931524,134.2880033078259,0.5405999999999995,7.4815,1.0,6.9409,1.6544,3.9083,2.2539,MgSnO,-1.1138000000000003,3.5732,12.0,4.687
Mg,Ti,O,138.8736815849891,139.4105069819843,0.5933000000000002,6.2970000000000015,1.0,5.7037,1.5152,3.912500000000001,2.3973000000000004,MgTiO,-0.9219,2.3845,1.0,3.3064
Mg,Zr,O,133.47429593976378,133.4318714572634,0.7272000000000016,8.9684,1.0,8.2412,1.6981000000000008,5.7254000000000005,4.0272999999999985,MgZrO,-0.9708999999999994,3.2430000000000003,1.0,4.2139
Na,As,O,154.55558490531828,153.83531934069075,-0.15730000000000022,4.5367,1.0,4.694,1.1162999999999998,2.1122,0.9958999999999998,NaAsO,-1.2736,2.4245,1.0,3.6981
Na,Nb,O,156.38765516116496,155.45741135987478,0.3506999999999998,3.6795,1.0,3.3288,1.3218,3.3052,1.9834000000000005,NaNbO,-0.9711,0.3743,11.0,1.3454
Na,P,O,162.34762669155003,160.99385191850203,0.15880000000000027,8.0875,1.0,7.9287,1.4574000000000007,3.1228000000000007,1.6654,NaPO,-1.2986000000000004,4.9647,1.0,6.2633
Na,Sb,O,150.14797937347174,150.09087798430778,0.11589999999999988,5.6423,1.0,5.5264,1.3433000000000002,2.8050999999999995,1.461799999999999,NaSbO,-1.2274000000000005,2.8372,1.0,4.0646
Na,Ta,O,158.44518225259162,157.241825497461,0.4545000000000004,4.7542,1.0,4.2997,1.4594,4.1072,2.6478,NaTaO,-1.0049,0.647,1.0,1.6519
Na,V,O,163.40997427943068,164.171398435627,0.048599999999999983,2.718,1.0,2.6694,0.9919000000000002,1.2696,0.27769999999999984,NaVO,-0.9433000000000002,1.4484,1.0,2.3917
Pb,Ge,O,179.8138301334695,179.86582928320388,0.2397,7.1257,1.0,6.886,0.6723999999999997,0.8662999999999998,0.19390000000000016,PbGeO,-0.4326999999999997,6.2594,2.0,6.6921
Pb,Hf,O,159.0551094060651,159.31964798242598,0.5511000000000008,7.8901,1.0,7.338999999999999,1.1262000000000008,3.7629,2.6367,PbHfO,-0.5751,4.1272,1.0,4.7023
Pb,Si,O,179.99298964831348,179.99275912305083,0.6212999999999997,10.9702,1.0,10.3489,1.2235999999999994,2.7997,1.5761000000000005,PbSiO,-0.6022999999999996,8.1705,1.0,8.7728
Pb,Sn,O,157.62793927013408,157.7296833328661,0.5213999999999999,8.7555,1.0,8.2341,1.2045000000000003,2.7886,1.5840999999999994,PbSnO,-0.6831000000000005,5.9669,3.0,6.65
Pb,Ti,O,170.07535302695038,172.65854294879003,0.6120999999999999,7.9083,1.0,7.2962,1.1096999999999992,2.5428999999999995,1.4332000000000005,PbTiO,-0.4975999999999994,5.3654,1.0,5.863
Pb,Zr,O,156.7812055045366,156.61414820506823,0.5894999999999992,9.2364,1.0,8.6469,1.1385999999999994,3.7524,2.6138000000000003,PbZrO,-0.5491000000000001,5.484,1.0,6.0331
Rb,As,O,159.04070643907838,168.7679519677236,-0.0035000000000002807,2.2329,1.0,2.2364,1.1782999999999997,1.6865,0.5082000000000002,RbAsO,-1.1818,0.5464,1.0,1.7282
Rb,Nb,O,179.99231143363392,179.99296488732898,0.3159000000000001,3.2165,1.0,2.9006,1.2643,2.6241,1.3598,RbNbO,-0.9484,0.5924,1.0,1.5408
Rb,P,O,152.22494815330518,164.2411130803006,0.38290000000000013,3.8685,1.0,3.4856,1.5907,2.7314,1.1406999999999998,RbPO,-1.2078,1.1371,10.0,2.3449
Rb,Sb,O,179.9686233326342,179.97622616293575,-1.1466999999999996,2.6474,2.0,3.7941,0.04100000000000037,0.008800000000000363,-0.032200000000000006,RbSbO,-1.1877,2.6386,1.0,3.8263
Rb,Ta,O,179.98490091514165,179.98494648121633,0.4224000000000001,4.2321,1.0,3.8097,1.4108999999999998,3.4056,1.9947,RbTaO,-0.9885,0.8265,1.0,1.815
Rb,V,O,179.9984644805611,179.9948233465572,-0.02099999999999991,2.6779,1.0,2.6989,0.8989000000000003,1.7034000000000002,0.8045,RbVO,-0.9199,0.9745,4.0,1.8944
Sc,Al,O,140.57990401952077,142.55218078535532,0.9823000000000004,10.7651,10.0,9.7828,1.9895000000000005,6.6533000000000015,4.6638,ScAlO,-1.0072,4.1118,1.0,5.119
Sc,Ga,O,134.85943047691163,138.17485846760846,0.8641000000000005,9.2623,1.0,8.3982,1.8254000000000008,6.191,4.365599999999999,ScGaO,-0.9613000000000004,3.0713,1.0,4.0326
Sc,In,O,127.00096411712688,129.78766437546082,0.7096000000000009,8.1757,1.0,7.4661,1.568200000000001,4.449400000000002,2.8812,ScInO,-0.8586,3.7263,1.0,4.5849
Sc,Tl,O,125.67420956596241,121.96573049470335,0.39899999999999997,5.4526,1.0,5.0536,1.1778000000000004,1.9423000000000004,0.7645,ScTlO,-0.7788000000000004,3.5103,4.0,4.2891
Sn,Ge,O,173.88445849303642,170.39537097708634,-0.0882000000000005,7.3889999999999985,4.0,7.4772,0.29879999999999995,0.2160000000000002,-0.08279999999999976,SnGeO,-0.3870000000000005,7.172999999999999,11.0,7.56
Sn,Hf,O,161.17716358498228,158.8198886481924,0.5635999999999992,8.0841,1.0,7.5205,1.016099999999999,3.515299999999999,2.4992,SnHfO,-0.4524999999999997,4.5688,1.0,5.0213
Sn,Si,O,179.99406439748435,179.9894121708986,0.6745000000000001,11.6555,1.0,10.981,1.1108000000000011,2.2316000000000003,1.1207999999999991,SnSiO,-0.436300000000001,9.4239,1.0,9.8602
Sn,Sn,O,164.83960427698582,156.59909896053702,0.5555000000000003,8.1661,1.0,7.6106,1.0591,2.0004,0.9413,SnSnO,-0.5035999999999996,6.1657,11.0,6.6693
Sn,Ti,O,164.78180146053458,164.56209606668253,0.5712000000000002,7.7708,1.0,7.1996,0.8885999999999994,1.4252000000000002,0.5366000000000009,SnTiO,-0.31739999999999924,6.3456,1.0,6.6629999999999985
Sn,Zr,O,158.8508777488285,157.07341936586496,0.6415999999999986,9.2326,1.0,8.591000000000001,1.0751999999999988,3.4186,2.343400000000001,SnZrO,-0.4336000000000002,5.814,1.0,6.2476
Sr,Ge,O,171.07773990667496,173.5869933961333,0.4044999999999997,5.5154,1.0,5.1109,1.5099999999999998,2.2067,0.6966999999999999,SrGeO,-1.1055,3.3087,1.0,4.4142
Sr,Hf,O,156.970740035905,157.8544831999771,0.6997999999999998,6.9505,1.0,6.2507,1.6618999999999993,5.8766,4.2147000000000014,SrHfO,-0.9621,1.0739,1.0,2.036
Sr,Si,O,179.9978614624943,179.98589306103622,0.6753,9.3052,1.0,8.6299,1.8258,4.714499999999999,2.8886999999999987,SrSiO,-1.1505,4.5907,1.0,5.7412
Sr,Sn,O,155.75736891431848,155.99541571578845,0.4958999999999998,6.5344,1.0,6.0385,1.5586000000000002,3.6071,2.0485,SrSnO,-1.0627000000000004,2.9273,12.0,3.99
